pref,prec_no,block_no
宗谷地方,11,47401
上川地方,12,47407
留萌地方,13,
石狩地方,14,47412
空知地方,15,
後志地方,16,
網走・北見・紋別地方,17,47409
根室地方,18,47420
釧路地方,19,47418
十勝地方,20,47417
胆振地方,21,47423
日高地方,22,
渡島地方,23,47430
檜山地方,24,
青森県,31,47575
秋田県,32,47582
岩手県,33,47584
宮城県,34,47590
山形県,35,47588
福島県,36,47595
茨城県,40,47629
栃木県,41,47615
群馬県,42,47624
埼玉県,43,47626
東京都,44,47662
千葉県,45,47682
神奈川県,46,47670
長野県,48,47610
山梨県,49,47638
静岡県,50,47654
愛知県,51,47636
岐阜県,52,47632
三重県,53,47651
新潟県,54,47604
富山県,55,47607
石川県,56,47605
福井県,57,47616
滋賀県,60,47761
京都府,61,47759
大阪府,62,47772
兵庫県,63,47770
奈良県,64,47780
和歌山県,65,47777
岡山県,66,47768
広島県,67,47765
島根県,68,47741
鳥取県,69,47746
徳島県,71,47895
香川県,72,47891
愛媛県,73,47887
高知県,74,47893
山口県,81,47784
福岡県,82,47807
大分県,83,47815
長崎県,84,47817
佐賀県,85,47813
熊本県,86,47819
宮崎県,87,47830
鹿児島県,88,47827
沖縄県,91,47936
南極,99,89532
